number_of_seasons,Title_ID
9,1001
14,1002
10,1003
8,1004
1,1005
15,1006
12,1007
6,1008
2,1009
5,1010
5,1011
3,1012
7,1013
7,1014
5,1015
14,1016
7,1017
5,1018
6,1019
10,1020
15,1021
3,1022
8,1023
12,1024
4,1025
13,1026
4,1027
8,1028
4,1029
12,1030
7,1031
6,1032
10,1033
4,1034
8,1035
13,1036
6,1037
8,1038
15,1039
6,1040
11,1041
9,1042
7,1043
11,1044
12,1045
10,1046
11,1047
13,1048
12,1049
3,1050
1,1051
3,1052
4,1053
2,1054
11,1055
10,1056
3,1057
9,1058
3,1059
3,1060
4,1061
11,1062
10,1063
2,1064
13,1065
12,1066
15,1067
3,1068
15,1069
2,1070
6,1071
10,1072
11,1073
11,1074
5,1075
6,1076
8,1077
10,1078
6,1079
7,1080
8,1081
8,1082
6,1083
3,1084
11,1085
4,1086
1,1087
1,1088
14,1089
7,1090
7,1091
14,1092
7,1093
2,1094
11,1095
5,1096
8,1097
12,1098
13,1099
11,1100
10,1101
4,1102
2,1103
4,1104
12,1105
3,1106
7,1107
10,1108
15,1109
6,1110
4,1111
14,1112
13,1113
13,1114
5,1115
5,1116
3,1117
9,1118
8,1119
10,1120
10,1121
9,1122
13,1123
12,1124
7,1125
5,1126
5,1127
15,1128
8,1129
7,1130
9,1131
9,1132
8,1133
5,1134
3,1135
7,1136
14,1137
10,1138
5,1139
12,1140
3,1141
13,1142
13,1143
2,1144
8,1145
1,1146
12,1147
14,1148
2,1149
3,1150
7,1151
6,1152
9,1153
11,1154
7,1155
15,1156
12,1157
3,1158
11,1159
14,1160
15,1161
15,1162
4,1163
12,1164
4,1165
6,1166
1,1167
3,1168
7,1169
4,1170
5,1171
1,1172
12,1173
5,1174
7,1175
14,1176
10,1177
11,1178
8,1179
6,1180
8,1181
10,1182
4,1183
15,1184
9,1185
12,1186
12,1187
7,1188
3,1189
15,1190
2,1191
11,1192
3,1193
6,1194
1,1195
13,1196
5,1197
8,1198
14,1199
4,1200
6,1201
14,1202
7,1203
5,1204
5,1205
10,1206
9,1207
11,1208
12,1209
1,1210
6,1211
8,1212
15,1213
10,1214
11,1215
7,1216
4,1217
14,1218
3,1219
14,1220
3,1221
6,1222
15,1223
1,1224
1,1225
10,1226
9,1227
5,1228
8,1229
4,1230
8,1231
3,1232
14,1233
9,1234
9,1235
10,1236
15,1237
6,1238
11,1239
3,1240
1,1241
4,1242
10,1243
12,1244
13,1245
6,1246
6,1247
